PR	674	Manati	Manati	 	Manati	91			18.4455	-66.4903		
PR	606	Maricao	Maricao	 	Maricao	93			18.1729	-66.9441		
PR	707	Maunabo	Maunabo	 	Maunabo	95			18.007	-65.8987		
PR	680	Mayaguez	Mayaguez	 	Mayaguez	97			18.213	-67.3034		
PR	681	Mayaguez	Mayaguez	 	Mayaguez	97			18.2113	-67.3257		
PR	682	Mayaguez	Mayaguez	 	Mayaguez	97			18.2142	-67.3357		
PR	676	Moca	Moca	 	Moca	99			18.3837	-67.0808		
PR	687	Morovis	Morovis	 	Morovis	101			18.317	-66.4152		
PR	718	Naguabo	Naguabo	 	Naguabo	103			18.2214	-65.7783		
PR	744	Rio Blanco	Naguabo	 	Naguabo	103			18.2063	-65.7431		
PR	719	Naranjito	Naranjito	 	Naranjito	105			18.298	-66.2298		
PR	720	Orocovis	Orocovis	 	Orocovis	107			18.2269	-66.394		
PR	723	Patillas	Patillas	 	Patillas	109			18.01	-66.0106		
PR	624	Penuelas	Penuelas	 	Penuelas	111			18.0235	-66.7262		
PR	715	Mercedita	Ponce	 	Ponce	113			18.0119	-66.5637		
PR	716	Ponce	Ponce	 	Ponce	113			18.002	-66.6074		
PR	717	Ponce	Ponce	 	Ponce	113			18.002	-66.6074		
PR	728	Ponce	Ponce	 	Ponce	113			18.002	-66.6074		
PR	730	Ponce	Ponce	 	Ponce	113			18.002	-66.6074		
PR	731	Ponce	Ponce	 	Ponce	113			18.0383	-66.6263		
PR	732	Ponce	Ponce	 	Ponce	113			18.0218	-66.6137		
PR	733	Ponce	Ponce	 	Ponce	113			18.0193	-66.6192		
PR	734	Ponce	Ponce	 	Ponce	113			17.9995	-66.6439		
PR	780	Coto Laurel	Ponce	 	Ponce	113			18.002	-66.6074		
PR	678	Quebradillas	Quebradillas	 	Quebradillas	115			18.453	-66.9337		
PR	677	Rincon	Rincon	 	Rincon	117			18.3358	-67.2525		
PR	721	Palmer	Rio Grande	 	Rio Grande	119			18.3642	-65.7783		
PR	745	Rio Grande	Rio Grande	 	Rio Grande	119			18.3673	-65.8166		
PR	637	Sabana Grande	Sabana Grande	 	Sabana Grande	121			18.0873	-66.9349		
PR	751	Salinas	Salinas	 	Salinas	123			17.9985	-66.2648		
PR	636	Rosario	San German	 	San German	125			18.1133	-67.0397		
PR	683	San German	San German	 	San German	125			18.1133	-67.0397		
PR	901	San Juan	San Juan	 	San Juan	127			18.4659	-66.1036		
PR	902	San Juan	San Juan	 	San Juan	127			18.4105	-66.0605		
PR	906	San Juan	San Juan	 	San Juan	127			18.4105	-66.0605		
PR	907	San Juan	San Juan	 	San Juan	127			18.452	-66.0806		
PR	908	San Juan	San Juan	 	San Juan	127			18.4105	-66.0605		
PR	909	San Juan	San Juan	 	San Juan	127			18.4434	-66.0681		
PR	910	San Juan	San Juan	 	San Juan	127			18.4105	-66.0605		
PR	911	San Juan	San Juan	 	San Juan	127			18.4508	-66.0579		
PR	912	San Juan	San Juan	 	San Juan	127			18.4442	-66.0599		
PR	913	San Juan	San Juan	 	San Juan	127			18.4507	-66.0434		
PR	914	San Juan	San Juan	 	San Juan	127			18.4105	-66.0605		
PR	915	San Juan	San Juan	 	San Juan	127			18.4379	-66.0481		
PR	916	San Juan	San Juan	 	San Juan	127			18.4105	-66.0605		
PR	917	San Juan	San Juan	 	San Juan	127			18.4214	-66.0504		
PR	918	San Juan	San Juan	 	San Juan	127			18.4191	-66.0623		
PR	919	San Juan	San Juan	 	San Juan	127			18.4105	-66.0605		
PR	920	San Juan	San Juan	 	San Juan	127			18.4068	-66.0919		
PR	921	San Juan	San Juan	 	San Juan	127			18.3904	-66.0661		
PR	922	San Juan	San Juan	 	San Juan	127			18.4105	-66.0605		
PR	923	San Juan	San Juan	 	San Juan	127			18.4108	-66.0367		
PR	924	San Juan	San Juan	 	San Juan	127			18.3964	-66.0115		
PR	925	San Juan	San Juan	 	San Juan	127			18.4011	-66.0498		
PR	926	San Juan	San Juan	 	San Juan	127			18.3694	-66.0628		
PR	927	San Juan	San Juan	 	San Juan	127			18.3852	-66.072		
PR	928	San Juan	San Juan	 	San Juan	127			18.4105	-66.0605		
PR	929	San Juan	San Juan	 	San Juan	127			18.4105	-66.0605		
PR	930	San Juan	San Juan	 	San Juan	127			18.4105	-66.0605		
PR	931	San Juan	San Juan	 	San Juan	127			18.4105	-66.0605		
PR	933	San Juan	San Juan	 	San Juan	127			18.4105	-66.0605		
PR	935	San Juan	San Juan	 	San Juan	127			18.4105	-66.0605		
PR	936	San Juan	San Juan	 	San Juan	127			18.3967	-66.0626		
PR	937	San Juan	San Juan	 	San Juan	127			18.4105	-66.0605		
PR	938	San Juan	San Juan	 	San Juan	127			18.4105	-66.0605		
PR	939	San Juan	San Juan	 	San Juan	127			18.4105	-66.0605		
PR	940	San Juan	San Juan	 	San Juan	127			18.4105	-66.0605		
PR	955	San Juan	San Juan	 	San Juan	127			18.4105	-66.0605		
PR	968	Guaynabo	San Juan	 	San Juan	127			18.4105	-66.0605		
PR	975	San Juan	San Juan	 	San Juan	127			18.4105	-66.0605		
PR	979	Carolina	San Juan	 	San Juan	127			18.4105	-66.0605		
PR	981	Carolina	San Juan	 	San Juan	127			18.4105	-66.0605		
PR	982	Carolina	San Juan	 	San Juan	127			18.4105	-66.0605		
PR	754	San Lorenzo	San Lorenzo	 	San Lorenzo	129			18.1876	-65.9624		
PR	685	San Sebastian	San Sebastian	 	San Sebastian	131			18.3236	-66.9722		
PR	757	Santa Isabel	Santa Isabel	 	Santa Isabel	133			17.9912	-66.3955		
PR	953	Toa Alta	Toa Alta	 	Toa Alta	135			18.3568	-66.257		
PR	954	Toa Alta	Toa Alta	 	Toa Alta	135			18.3589	-66.2581		
PR	949	Toa Baja	Toa Baja	 	Toa Baja	137			18.4319	-66.1997		
PR	950	Toa Baja	Toa Baja	 	Toa Baja	137			18.4578	-66.1965		
PR	951	Toa Baja	Toa Baja	 	Toa Baja	137			18.4578	-66.1965		
PR	952	Sabana Seca	Toa Baja	 	Toa Baja	137			18.4578	-66.1965		
PR	976	Trujillo Alto	Trujillo Alto	 	Trujillo Alto	139			18.3381	-65.9892		
PR	977	Trujillo Alto	Trujillo Alto	 	Trujillo Alto	139			18.337	-65.9901		
PR	978	St Just	Trujillo Alto	 	Trujillo Alto	139			18.337	-65.9901		
PR	611	Angeles	Utuado	 	Utuado	141			18.2795	-66.8022		
PR	641	Utuado	Utuado	 	Utuado	141			18.25	-66.699		
PR	692	Vega Alta	Vega Alta	 	Vega Alta	143			18.4358	-66.3385		
PR	693	Vega Baja	Vega Baja	 	Vega Baja	145			18.4431	-66.3983		
PR	694	Vega Baja	Vega Baja	 	Vega Baja	145			18.4431	-66.3983		
PR	765	Vieques	Vieques	 	Vieques	147			18.1233	-65.4604		
PR	766	Villalba	Villalba	 	Villalba	149			18.1205	-66.4966		
PR	767	Yabucoa	Yabucoa	 	Yabucoa	151			18.0455	-65.887		
PR	698	Yauco	Yauco	 	Yauco	153			18.061	-66.8612		
